Year	Sector	Reporting Legal Name	Facility Name	CO2 (tonnes CO2 eq)	CH4 (tonnes CO2 eq)	N2O (tonnes CO2 eq)	HFC (tonnes CO2 eq)	PFC (tonnes CO2 eq)	SF6 (tonnes CO2 eq)	Total (tonnes CO2 eq)
2013	Chemical Manufacturing	Alberta Envirofuels	Alberta Envirofuels	254935	489	433	0	0	0	255858
2013	Chemical Manufacturing	Cancarb Ltd.	Cancarb Ltd.	162446	349	349	0	0	3	163148
2013	Chemical Manufacturing	MEGlobal Canada Inc.	Fort Saskatchewan EOEG	92952	1479	0	0	0	0	94430
2013	Chemical Manufacturing	INEOS Canada Partnership	Joffre LAO Plant	147118	108	1101	0	0	0	148328
2013	Chemical Manufacturing	NOVA Chemicals Corporation	NOVA Chemicals Corporation (Joffre)	2954199	3729	12737	0	0	0	2970665
2013	Chemical Manufacturing	MEGlobal Canada Inc.	Prentiss Chemical Manufacturing Facility	376451	473	251	0	0	0	377175
2013	Chemical Manufacturing	Shell Chemicals Canada Limited.	Scotford Chemical Plant	327982	255	627	257	0	0	329120
2013	Chemical Manufacturing	Air Liquide Canada Inc.	Scotford Complex	496537	217	2306	0	0	0	499060
2013	Chemical Manufacturing	Dow Chemical Canada ULC	Western Canada Operations	1391655	2116	4498	4842	0	1	1403112
2013	Chemical Manufacturing	Air Products Canada Ltd.	Edmonton Hydrogen Facility	1080966	1031	261	0	0	0	1082257
2013	Chemical Manufacturing	Dow Chemical Canada ULC	Prentiss Manufacturing Facility	22038	459	23	0	0	0	22520
2013	Chemical Manufacturing	Methanex Corporation	Methanex Medicine Hat Methanol Plant	298569	1571	1546	0	0	0	301686
2013	Coal Mining	TransAlta Generation Partnership	Highvale Coal Mine	93715	61646	1057	0	0	0	156418
2013	Coal Mining	Coal Valley Resources Inc.	Coal Valley Mine	151563	57369	11588	0	0	0	220520
2013	Coal Mining	Teck Coal Limited	Cheviot Mine (Cardinal River Operations)	91278	26577	8427	0	0	0	126283
2013	Coal Mining	Grande Cache Coal Corporation	Grande Cache Coal Corporation	102882	102	7770	0	0	0	110753
2013	Conventional Oil and Gas Extraction	Blaze Energy Ltd.	Brazeau Gas Plant	78750	63584	1670	0	0	0	144003
2013	Conventional Oil and Gas Extraction	Keyera Corp	Brazeau River Gas Plant	74122	7995	2677	0	0	0	84794
2013	Conventional Oil and Gas Extraction	Inter Pipeline Extraction Ltd.	Cochrane Extraction Plant	516032	3001	3227	0	0	0	522260
2013	Conventional Oil and Gas Extraction	Taqa North Ltd.	East Crossfield Gas Plant 9-14-28-1W5	123504	2455	409	0	0	0	126368
2013	Conventional Oil and Gas Extraction	Talisman Energy	Edson Gas Plant	201554	10980	1458	0	0	0	213992
2013	Conventional Oil and Gas Extraction	ConocoPhillips Canada Operations Ltd.	Elmworth Gas Plant	235884	18698	1504	0	0	0	256086
2013	Conventional Oil and Gas Extraction	Spectra Energy Empress LP	Empress Straddle Gas Plant	281355	5683	1163	0	0	0	288201
2013	Conventional Oil and Gas Extraction	Plains Midstream Canada	Fort Saskatchewan Storage and Fractionation	65303	65	355	0	0	0	65723
2013	Conventional Oil and Gas Extraction	Direct Energy Marketing Ltd.	Hanlan Robb Gas Plant	218003	26820	577	0	0	0	245401
2013	Conventional Oil and Gas Extraction	Taylor Processing Inc.	Harmattan Gas Processing Plant	399571	28259	3395	0	0	0	431225
2013	Conventional Oil and Gas Extraction	Pengrowth Energy Corporation	Judy Creek Gas Conservation Plant	56007	13210	1765	0	0	0	70983
2013	Conventional Oil and Gas Extraction	Canadian Natural Resources Limited	Karr Gas Plant	69793	8682	1423	0	0	0	79897
2013	Conventional Oil and Gas Extraction	SemCams ULC	Kaybob Amalgamated Sour Gas Plant	216012	12780	2782	0	0	0	231574
